Specialty,National Rank,Overall Score,ranking_type,hospital
Cancer,#3,91.0/100,adult,"Mayo Clinic, Rochester, Minn."
Cardiology & Heart Surgery,#2,96.7/100,adult,"Mayo Clinic, Rochester, Minn."
Diabetes & Endocrinology,#1,100.0/100,adult,"Mayo Clinic, Rochester, Minn."
"Ear, Nose & Throat",#2,96.5/100,adult,"Mayo Clinic, Rochester, Minn."
Gastroenterology & GI Surgery,#1,100.0/100,adult,"Mayo Clinic, Rochester, Minn."
Geriatrics,#1,100.0/100,adult,"Mayo Clinic, Rochester, Minn."
Gynecology,#1,100.0/100,adult,"Mayo Clinic, Rochester, Minn."
Nephrology,#1,100.0/100,adult,"Mayo Clinic, Rochester, Minn."
Neurology & Neurosurgery,#1,100.0/100,adult,"Mayo Clinic, Rochester, Minn."
Orthopedics,#2,86.9/100,adult,"Mayo Clinic, Rochester, Minn."
Psychiatry,#8,8.8/100,adult,"Mayo Clinic, Rochester, Minn."
Pulmonology,#1,100.0/100,adult,"Mayo Clinic, Rochester, Minn."
Rehabilitation,#6,18.6/100,adult,"Mayo Clinic, Rochester, Minn."
Rheumatology,#4,36.4/100,adult,"Mayo Clinic, Rochester, Minn."
Urology,#1,100.0/100,adult,"Mayo Clinic, Rochester, Minn."
Ophthalmology,High Performing,4.1/100,adult,"Mayo Clinic, Rochester, Minn."
Pediatrics: Cancer,#31,64.2/100,children,"Mayo Clinic, Rochester, Minn."
Pediatrics: Cardiology & Heart Surgery,#27,62.1/100,children,"Mayo Clinic, Rochester, Minn."
Pediatrics: Diabetes & Endocrinology,#18,75.0/100,children,"Mayo Clinic, Rochester, Minn."
Pediatrics: Gastroenterology & GI Surgery,#47,52.1/100,children,"Mayo Clinic, Rochester, Minn."
Pediatrics: Neurology & Neurosurgery,#28,73.6/100,children,"Mayo Clinic, Rochester, Minn."
Pediatrics: Orthopedics,#33,69.9/100,children,"Mayo Clinic, Rochester, Minn."
Pediatrics: Pulmonology,#43,50.7/100,children,"Mayo Clinic, Rochester, Minn."
Pediatrics: Urology,#43,57.9/100,children,"Mayo Clinic, Rochester, Minn."
Pediatrics: Neonatology,Not Ranked,NA,children,"Mayo Clinic, Rochester, Minn."
Pediatrics: Nephrology,Not Ranked,NA,children,"Mayo Clinic, Rochester, Minn."
Cancer,#8,73.8/100,adult,Cleveland Clinic
Cardiology & Heart Surgery,#1,100.0/100,adult,Cleveland Clinic
Diabetes & Endocrinology,#3,83.9/100,adult,Cleveland Clinic
"Ear, Nose & Throat",#12,84.8/100,adult,Cleveland Clinic
Gastroenterology & GI Surgery,#2,89.1/100,adult,Cleveland Clinic
Geriatrics,#8,86.7/100,adult,Cleveland Clinic
Gynecology,#3,91.0/100,adult,Cleveland Clinic
Nephrology,#2,96.6/100,adult,Cleveland Clinic
Neurology & Neurosurgery,#6,84.2/100,adult,Cleveland Clinic
Ophthalmology,#8,8.8/100,adult,Cleveland Clinic
Orthopedics,#3,76.7/100,adult,Cleveland Clinic
Pulmonology,#3,87.8/100,adult,Cleveland Clinic
Rheumatology,#3,39.8/100,adult,Cleveland Clinic
Urology,#2,99.2/100,adult,Cleveland Clinic
Rehabilitation,High Performing,3.7/100,adult,Cleveland Clinic
Psychiatry,Not Ranked,2.5/100,adult,Cleveland Clinic
Pediatrics: Cancer,#39,61.2/100,children,Cleveland Clinic
Pediatrics: Cardiology & Heart Surgery,#23,65.5/100,children,Cleveland Clinic
Pediatrics: Diabetes & Endocrinology,#46,65.9/100,children,Cleveland Clinic
Pediatrics: Gastroenterology & GI Surgery,#19,72.5/100,children,Cleveland Clinic
Pediatrics: Nephrology,#37,67.4/100,children,Cleveland Clinic
Pediatrics: Neurology & Neurosurgery,#19,79.6/100,children,Cleveland Clinic
Pediatrics: Orthopedics,#27,72.1/100,children,Cleveland Clinic
Pediatrics: Pulmonology,#23,60.3/100,children,Cleveland Clinic
Pediatrics: Urology,#26,67.3/100,children,Cleveland Clinic
Pediatrics: Neonatology,Not Ranked,NA,children,Cleveland Clinic
Cancer,#11,70.6/100,adult,"Massachusetts General Hospital, Boston"
Cardiology & Heart Surgery,#4,78.2/100,adult,"Massachusetts General Hospital, Boston"
Diabetes & Endocrinology,#2,85.1/100,adult,"Massachusetts General Hospital, Boston"
"Ear, Nose & Throat",#1,100.0/100,adult,"Massachusetts General Hospital, Boston"
Gastroenterology & GI Surgery,#4,77.0/100,adult,"Massachusetts General Hospital, Boston"
Geriatrics,#6,87.5/100,adult,"Massachusetts General Hospital, Boston"
Gynecology,#5,88.5/100,adult,"Massachusetts General Hospital, Boston"
Nephrology,#6,83.0/100,adult,"Massachusetts General Hospital, Boston"
Neurology & Neurosurgery,#4,86.2/100,adult,"Massachusetts General Hospital, Boston"
Ophthalmology,#4,33.2/100,adult,"Massachusetts General Hospital, Boston"
Orthopedics,#8,68.4/100,adult,"Massachusetts General Hospital, Boston"
Psychiatry,#1,22.7/100,adult,"Massachusetts General Hospital, Boston"
Pulmonology,#4,82.4/100,adult,"Massachusetts General Hospital, Boston"
Rehabilitation,#5,19.5/100,adult,"Massachusetts General Hospital, Boston"
Rheumatology,#7,16.5/100,adult,"Massachusetts General Hospital, Boston"
Urology,#26,72.5/100,adult,"Massachusetts General Hospital, Boston"
